new_name;labels;cf19l_EN_1.0p.dta;cf18k_EN_1.0p.dta;cf17j_EN_1.0p.dta;cf16i_EN_1.0p.dta;cf15h_EN_1.0p.dta;cf14g_EN_1.1p.dta;cf13f_EN_1.1p_corrected.dta;cf12e_EN_2.1p.dta;cf11d_EN_1.1p.dta;cf10c_EN_1.0p.dta;cf09b_EN_2.2p.dta;cf08a_2p_EN.dta
random_child;Randomly selected child;cf19l001;cf18k001;cf17j001;cf16i001;cf15h001;cf14g001;cf13f001;cf12e001;cf11d001;cf10c001;cf09b001;cf08a001
random_birth;Year of birth of randomly selected child;cf19l002;cf18k002;cf17j002;cf16i002;cf15h002;cf14g002;cf13f002;cf12e002;cf11d002;cf10c002;cf09b002;cf08a002
gender;Gender respondent;cf19l003;cf18k003;cf17j003;cf16i003;cf15h003;cf14g003;cf13f003;cf12e003;cf11d003;cf10c003;cf09b003;cf08a003
age;Age respondent;cf19l004;cf18k004;cf17j004;cf16i004;cf15h004;cf14g004;cf13f004;cf12e004;cf11d004;cf10c004;cf09b004;cf08a004
father_birth;What is the year of birth of your father?;cf19l005;cf18k005;cf17j005;cf16i005;cf15h005;cf14g005;cf13f005;cf12e005;cf11d005;cf10c005;cf09b005;cf08a005
father_birth_period;Can you perhaps indicate the period in which your biological father was born?;cf19l449;cf18k449;cf17j449;cf16i449;cf15h449;cf14g006;cf13f006;cf12e006;cf11d006;cf10c006;cf09b006;cf08a006
father_alive;Is your father still alive?;cf19l007;cf18k007;cf17j007;cf16i007;cf15h007;cf14g007;cf13f007;cf12e007;cf11d007;cf10c007;cf09b007;cf08a007
father_died;In what year did your father pass away?;cf19l008;cf18k008;cf17j008;cf16i008;cf15h008;cf14g008;cf13f008;cf12e008;cf11d008;cf10c008;cf09b008;cf08a008
mother_birth;What is the year of birth of your mother?;cf19l009;cf18k009;cf17j009;cf16i009;cf15h009;cf14g009;cf13f009;cf12e009;cf11d009;cf10c009;cf09b009;cf08a009
mother_birth_period;Can you perhaps indicate the period in which your biological mother was born?;cf19l450;cf18k450;cf17j450;cf16i450;cf15h450;cf14g010;cf13f010;cf12e010;cf11d010;cf10c010;cf09b010;cf08a010
mother_alive;Is your mother still alive?;cf19l011;cf18k011;cf17j011;cf16i011;cf15h011;cf14g011;cf13f011;cf12e011;cf11d011;cf10c011;cf09b011;cf08a011
mother_died;In what year did your mother pass away?;cf19l012;cf18k012;cf17j012;cf16i012;cf15h012;cf14g012;cf13f012;cf12e012;cf11d012;cf10c012;cf09b012;cf08a012
parents_divorce;Did your own parents ever divorce?;cf19l013;cf18k013;cf17j013;cf16i013;cf15h013;cf14g013;cf13f013;cf12e013;cf11d013;cf10c013;cf09b013;cf08a013
parents_divorce_age;How old were you when your parents separated?;cf19l014;cf18k014;cf17j014;cf16i014;cf15h014;cf14g014;cf13f014;cf12e014;cf11d014;cf10c014;cf09b014;cf08a014
father_partner;Is your father currently living together with a partner?;cf19l015;cf18k015;cf17j015;cf16i015;cf15h015;cf14g015;cf13f015;cf12e015;cf11d015;cf10c015;cf09b015;cf08a015
mother_partner;Is your mother currently living together with a partner?;cf19l016;cf18k016;cf17j016;cf16i016;cf15h016;cf14g016;cf13f016;cf12e016;cf11d016;cf10c016;cf09b016;cf08a016
parents_postal;'Do you know the postal code of your parents'' address?';cf19l451;cf18k451;cf17j451;cf16i451;cf15h451;cf14g017;cf13f017;cf12e017;cf11d017;cf10c017;cf09b017;cf08a017
father_postal;'Do you know the postal code of your father''s address?';cf19l018;cf18k018;cf17j018;cf16i018;cf15h018;cf14g018;cf13f018;cf12e018;cf11d018;cf10c018;cf09b018;cf08a018
mother_postal;'Do you know the postal code of your mother''s address?';cf19l019;cf18k019;cf17j019;cf16i019;cf15h019;cf14g019;cf13f019;cf12e019;cf11d019;cf10c019;cf09b019;cf08a019
father_seen;How often did you see your father over the past 12 months?;cf19l020;cf18k020;cf17j020;cf16i020;cf15h020;cf14g020;cf13f020;cf12e020;cf11d020;cf10c020;cf09b020;cf08a020
father_contact;How often did you have contact with your father over the past 12 months;;;;;;cf14g021;cf13f021;cf12e021;cf11d021;cf10c021;cf09b021;cf08a021
mother_seen;How often did you see your mother over the past 12 months?;cf19l022;cf18k022;cf17j022;cf16i022;cf15h022;cf14g022;cf13f022;cf12e022;cf11d022;cf10c022;cf09b022;cf08a022
mother_contact;How often did you have contact with your mother over the past 12 months;;;;;;cf14g023;cf13f023;cf12e023;cf11d023;cf10c023;cf09b023;cf08a023
partner;Do you currently have a partner?;cf19l024;cf18k024;cf17j024;cf16i024;cf15h024;cf14g024;cf13f024;cf12e024;cf11d024;cf10c024;cf09b024;cf08a024
partner_live;Do you live together with this partner?;cf19l025;cf18k025;cf17j025;cf16i025;cf15h025;cf14g025;cf13f025;cf12e025;cf11d025;cf10c025;cf09b025;cf08a025
partner_birth;What is his or her year of birth?;cf19l026;cf18k026;cf17j026;cf16i026;cf15h026;cf14g026;cf13f026;cf12e026;cf11d026;cf10c026;cf09b026;cf08a026
partner_country;In which country was your partner born?;cf19l027;cf18k027;cf17j027;cf16i027;cf15h027;cf14g027;cf13f027;cf12e027;cf11d027;cf10c027;cf09b027;cf08a027
partner_begin;In what year did the relationship with your partner begin?;cf19l028;cf18k028;cf17j028;cf16i028;cf15h028;cf14g028;cf13f028;cf12e028;cf11d028;cf10c028;cf09b028;cf08a028
partner_live_begin;In what year did you start living together with your partner?;cf19l029;cf18k029;cf17j029;cf16i029;cf15h029;cf14g029;cf13f029;cf12e029;cf11d029;cf10c029;cf09b029;cf08a029
married;Are you married to this partner?;cf19l030;cf18k030;cf17j030;cf16i030;cf15h030;cf14g030;cf13f030;cf12e030;cf11d030;cf10c030;cf09b030;cf08a030
marry_year;In what year did you marry?;cf19l031;cf18k031;cf17j031;cf16i031;cf15h031;cf14g031;cf13f031;cf12e031;cf11d031;cf10c031;cf09b031;cf08a031
partner_gender;'What is your partner''s gender?';cf19l032;cf18k032;cf17j032;cf16i032;cf15h032;cf14g032;cf13f032;cf12e032;cf11d032;cf10c032;cf09b032;cf08a032
married_before;Were you married to another partner before?;cf19l033;cf18k033;cf17j033;cf16i033;cf15h033;cf14g033;cf13f033;cf12e033;cf11d033;cf10c033;cf09b033;cf08a033
maried_before_end;Did you separate or did your previous partner pass away?;cf19l034;cf18k034;cf17j034;cf16i034;cf15h034;cf14g034;cf13f034;cf12e034;cf11d034;cf10c034;cf09b034;cf08a034
children;Have you had any children?;cf19l454;cf18k454;cf17j454;cf16i454;cf15h454;cf14g035;cf13f035;cf12e035;cf11d035;cf10c035;cf09b035;cf08a035
children_amount;How many children have you had in total?;cf19l455;cf18k455;cf17j455;cf16i455;cf15h455;cf14g036;cf13f036;cf12e036;cf11d036;cf10c036;cf09b036;cf08a036
child1_birth;Birth year first child;cf19l456;cf18k456;cf17j456;cf16i456;cf15h456;cf14g037;cf13f037;cf12e037;cf11d037;cf10c037;cf09b037;cf08a037
child2_birth;Birth year second child;cf19l457;cf18k457;cf17j457;cf16i457;cf15h457;cf14g038;cf13f038;cf12e038;cf11d038;cf10c038;cf09b038;cf08a038
child3_birth;Birth year third child;cf19l458;cf18k458;cf17j458;cf16i458;cf15h458;cf14g039;cf13f039;cf12e039;cf11d039;cf10c039;cf09b039;cf08a039
child4_birth;Birth year fourth child;cf19l459;cf18k459;cf17j459;cf16i459;cf15h459;cf14g040;cf13f040;cf12e040;cf11d040;cf10c040;cf09b040;cf08a040
child5_birth;Birth year fifth child;cf19l460;cf18k460;cf17j460;cf16i460;cf15h460;cf14g041;cf13f041;cf12e041;cf11d041;cf10c041;cf09b041;cf08a041
child6_birth;Birth year sixth child;cf19l461;cf18k461;cf17j461;cf16i461;cf15h461;cf14g042;cf13f042;cf12e042;cf11d042;cf10c042;cf09b042;cf08a042
child7_birth;Birth year seventh child;cf19l462;cf18k462;cf17j462;cf16i462;cf15h462;cf14g043;cf13f043;cf12e043;cf11d043;cf10c043;cf09b043;cf08a043
child8_birth;Birth year eighth child;cf19l463;cf18k463;cf17j463;cf16i463;cf15h463;cf14g044;cf13f044;cf12e044;cf11d044;cf10c044;cf09b044;cf08a044
child9_birth;Birth year ninth child;cf19l464;cf18k464;cf17j464;cf16i464;cf15h464;cf14g045;cf13f045;cf12e045;cf11d045;cf10c045;cf09b045;cf08a045
child10_birth;Birth year tenth child;cf19l465;cf18k465;cf17j465;cf16i465;cf15h465;cf14g046;cf13f046;cf12e046;cf11d046;cf10c046;cf09b046;cf08a046
child11_birth;Birth year eleventh child;cf19l466;cf18k466;cf17j466;cf16i466;cf15h466;cf14g047;cf13f047;cf12e047;cf11d047;cf10c047;cf09b047;cf08a047
child12_birth;Birth year twelfth child;cf19l467;cf18k467;cf17j467;cf16i467;cf15h467;cf14g048;cf13f048;cf12e048;cf11d048;cf10c048;cf09b048;cf08a048
child13_birth;Birth year thirteenth child;cf19l468;cf18k468;cf17j468;cf16i468;cf15h468;cf14g049;cf13f049;cf12e049;cf11d049;cf10c049;cf09b049;cf08a049
child14_birth;Birth year fourteenth child;cf19l469;cf18k469;cf17j469;cf16i469;cf15h469;cf14g050;cf13f050;cf12e050;cf11d050;cf10c050;cf09b050;cf08a050
child15_birth;Birth year fifteenth child;cf19l470;cf18k470;cf17j470;cf16i470;cf15h470;cf14g051;cf13f051;cf12e051;cf11d051;cf10c051;cf09b051;cf08a051
children_alive;Are all your children still alive?;;;;;;cf14g052;cf13f052;cf12e052;cf11d052;cf10c052;cf09b052;cf08a052
child1_died;Passed away: first child;;;;;;cf14g053;cf13f053;cf12e053;cf11d053;cf10c053;cf09b053;cf08a053
child2_died;Passed away: second child;;;;;;cf14g054;cf13f054;cf12e054;cf11d054;cf10c054;cf09b054;cf08a054
child3_died;Passed away: third child;;;;;;cf14g055;cf13f055;cf12e055;cf11d055;cf10c055;cf09b055;cf08a055
child4_died;Passed away: fourth child;;;;;;cf14g056;cf13f056;cf12e056;cf11d056;cf10c056;cf09b056;cf08a056
child5_died;Passed away: fifth child;;;;;;cf14g057;cf13f057;cf12e057;cf11d057;cf10c057;cf09b057;cf08a057
child6_died;Passed away: sixth child;;;;;;cf14g058;cf13f058;cf12e058;cf11d058;cf10c058;cf09b058;cf08a058
child7_died;Passed away: seventh child;;;;;;cf14g059;cf13f059;cf12e059;cf11d059;cf10c059;cf09b059;cf08a059
child8_died;Passed away: eighth child;;;;;;cf14g060;cf13f060;cf12e060;cf11d060;cf10c060;cf09b060;cf08a060
child9_died;Passed away: ninth child;;;;;;cf14g061;cf13f061;cf12e061;cf11d061;cf10c061;cf09b061;cf08a061
child10_died;Passed away: tenth child;;;;;;cf14g062;cf13f062;cf12e062;cf11d062;cf10c062;cf09b062;cf08a062
child11_died;Passed away: eleventh child;;;;;;cf14g063;cf13f063;cf12e063;cf11d063;cf10c063;cf09b063;cf08a063
child12_died;Passed away: twelfth child;;;;;;cf14g064;cf13f064;cf12e064;cf11d064;cf10c064;cf09b064;cf08a064
child13_died;Passed away: thirteenth child;;;;;;cf14g065;cf13f065;cf12e065;cf11d065;cf10c065;cf09b065;cf08a065
child14_died;Passed away: fourteenth child;;;;;;cf14g066;cf13f066;cf12e066;cf11d066;cf10c066;cf09b066;cf08a066
child15_died;Passed away: fifteenth child;;;;;;cf14g067;cf13f067;cf12e067;cf11d067;cf10c067;cf09b067;cf08a067
child1_sex;Gender: first child;cf19l068;cf18k068;cf17j068;cf16i068;cf15h068;cf14g068;cf13f068;cf12e068;cf11d068;cf10c068;cf09b068;cf08a068
child2_sex;Gender: second child;cf19l069;cf18k069;cf17j069;cf16i069;cf15h069;cf14g069;cf13f069;cf12e069;cf11d069;cf10c069;cf09b069;cf08a069
child3_sex;Gender: third child;cf19l070;cf18k070;cf17j070;cf16i070;cf15h070;cf14g070;cf13f070;cf12e070;cf11d070;cf10c070;cf09b070;cf08a070
child4_sex;Gender: fourth child;cf19l071;cf18k071;cf17j071;cf16i071;cf15h071;cf14g071;cf13f071;cf12e071;cf11d071;cf10c071;cf09b071;cf08a071
child5_sex;Gender: fifth child;cf19l072;cf18k072;cf17j072;cf16i072;cf15h072;cf14g072;cf13f072;cf12e072;cf11d072;cf10c072;cf09b072;cf08a072
child6_sex;Gender: sixth child;cf19l073;cf18k073;cf17j073;cf16i073;cf15h073;cf14g073;cf13f073;cf12e073;cf11d073;cf10c073;cf09b073;cf08a073
child7_sex;Gender: seventh child;cf19l074;cf18k074;cf17j074;cf16i074;cf15h074;cf14g074;cf13f074;cf12e074;cf11d074;cf10c074;cf09b074;cf08a074
child8_sex;Gender: eighth child;cf19l075;cf18k075;cf17j075;cf16i075;cf15h075;cf14g075;cf13f075;cf12e075;cf11d075;cf10c075;cf09b075;cf08a075
child9_sex;Gender: ninth child;cf19l076;cf18k076;cf17j076;cf16i076;cf15h076;cf14g076;cf13f076;cf12e076;cf11d076;cf10c076;cf09b076;cf08a076
child10_sex;Gender: tenth child;cf19l077;cf18k077;cf17j077;cf16i077;cf15h077;cf14g077;cf13f077;cf12e077;cf11d077;cf10c077;cf09b077;cf08a077
child11_sex;Gender: eleventh child;cf19l078;cf18k078;cf17j078;cf16i078;cf15h078;cf14g078;cf13f078;cf12e078;cf11d078;cf10c078;cf09b078;cf08a078
child12_sex;Gender: twelfth child;cf19l079;cf18k079;cf17j079;cf16i079;cf15h079;cf14g079;cf13f079;cf12e079;cf11d079;cf10c079;cf09b079;cf08a079
child13_sex;Gender: thirteenth child;cf19l080;cf18k080;cf17j080;cf16i080;cf15h080;cf14g080;cf13f080;cf12e080;cf11d080;cf10c080;cf09b080;cf08a080
child14_sex;Gender: fourteenth child;cf19l081;cf18k081;cf17j081;cf16i081;cf15h081;cf14g081;cf13f081;cf12e081;cf11d081;cf10c081;cf09b081;cf08a081
child15_sex;Gender: fifteenth child;cf19l082;cf18k082;cf17j082;cf16i082;cf15h082;cf14g082;cf13f082;cf12e082;cf11d082;cf10c082;cf09b082;cf08a082
child1_home;Living at home or living independently: first child;cf19l083;cf18k083;cf17j083;cf16i083;cf15h083;cf14g083;cf13f083;cf12e083;cf11d083;cf10c083;cf09b083;cf08a083
child2_home;Living at home or living independently: second child;cf19l084;cf18k084;cf17j084;cf16i084;cf15h084;cf14g084;cf13f084;cf12e084;cf11d084;cf10c084;cf09b084;cf08a084
child3_home;Living at home or living independently: third child;cf19l085;cf18k085;cf17j085;cf16i085;cf15h085;cf14g085;cf13f085;cf12e085;cf11d085;cf10c085;cf09b085;cf08a085
child4_home;Living at home or living independently: fourth child;cf19l086;cf18k086;cf17j086;cf16i086;cf15h086;cf14g086;cf13f086;cf12e086;cf11d086;cf10c086;cf09b086;cf08a086
child5_home;Living at home or living independently: fifth child;cf19l087;cf18k087;cf17j087;cf16i087;cf15h087;cf14g087;cf13f087;cf12e087;cf11d087;cf10c087;cf09b087;cf08a087
child6_home;Living at home or living independently: sixth child;cf19l088;cf18k088;cf17j088;cf16i088;cf15h088;cf14g088;cf13f088;cf12e088;cf11d088;cf10c088;cf09b088;cf08a088
child7_home;Living at home or living independently: seventh child;cf19l089;cf18k089;cf17j089;cf16i089;cf15h089;cf14g089;cf13f089;cf12e089;cf11d089;cf10c089;cf09b089;cf08a089
child8_home;Living at home or living independently: eighth child;cf19l090;cf18k090;cf17j090;cf16i090;cf15h090;cf14g090;cf13f090;cf12e090;cf11d090;cf10c090;cf09b090;cf08a090
child9_home;Living at home or living independently: ninth child;cf19l091;cf18k091;cf17j091;cf16i091;cf15h091;cf14g091;cf13f091;cf12e091;cf11d091;cf10c091;cf09b091;cf08a091
child10_home;Living at home or living independently: tenth child;cf19l092;cf18k092;cf17j092;cf16i092;cf15h092;cf14g092;cf13f092;cf12e092;cf11d092;cf10c092;cf09b092;cf08a092
child11_home;Living at home or living independently: eleventh child;cf19l093;cf18k093;cf17j093;cf16i093;cf15h093;cf14g093;cf13f093;cf12e093;cf11d093;cf10c093;cf09b093;cf08a093
child12_home;Living at home or living independently: twelfth child;cf19l094;cf18k094;cf17j094;cf16i094;cf15h094;cf14g094;cf13f094;cf12e094;cf11d094;cf10c094;cf09b094;cf08a094
child13_home;Living at home or living independently: thirteenth child;cf19l095;cf18k095;cf17j095;cf16i095;cf15h095;cf14g095;cf13f095;cf12e095;cf11d095;cf10c095;cf09b095;cf08a095
child14_home;Living at home or living independently: fourteenth child;cf19l096;cf18k096;cf17j096;cf16i096;cf15h096;cf14g096;cf13f096;cf12e096;cf11d096;cf10c096;cf09b096;cf08a096
child15_home;Living at home or living independently: fifteenth child;cf19l097;cf18k097;cf17j097;cf16i097;cf15h097;cf14g097;cf13f097;cf12e097;cf11d097;cf10c097;cf09b097;cf08a097
child1_parent;Kind of parent: first child;cf19l098;cf18k098;cf17j098;cf16i098;cf15h098;cf14g098;cf13f098;cf12e098;cf11d098;cf10c098;cf09b098;cf08a098
child2_parent;Kind of parent: second child;cf19l099;cf18k099;cf17j099;cf16i099;cf15h099;cf14g099;cf13f099;cf12e099;cf11d099;cf10c099;cf09b099;cf08a099
child3_parent;Kind of parent: third child;cf19l100;cf18k100;cf17j100;cf16i100;cf15h100;cf14g100;cf13f100;cf12e100;cf11d100;cf10c100;cf09b100;cf08a100
child4_parent;Kind of parent: fourth child;cf19l101;cf18k101;cf17j101;cf16i101;cf15h101;cf14g101;cf13f101;cf12e101;cf11d101;cf10c101;cf09b101;cf08a101
child5_parent;Kind of parent: fifth child;cf19l102;cf18k102;cf17j102;cf16i102;cf15h102;cf14g102;cf13f102;cf12e102;cf11d102;cf10c102;cf09b102;cf08a102
child6_parent;Kind of parent: sixth child;cf19l103;cf18k103;cf17j103;cf16i103;cf15h103;cf14g103;cf13f103;cf12e103;cf11d103;cf10c103;cf09b103;cf08a103
child7_parent;Kind of parent: seventh child;cf19l104;cf18k104;cf17j104;cf16i104;cf15h104;cf14g104;cf13f104;cf12e104;cf11d104;cf10c104;cf09b104;cf08a104
child8_parent;Kind of parent: eighth child;cf19l105;cf18k105;cf17j105;cf16i105;cf15h105;cf14g105;cf13f105;cf12e105;cf11d105;cf10c105;cf09b105;cf08a105
child9_parent;Kind of parent: ninth child;cf19l106;cf18k106;cf17j106;cf16i106;cf15h106;cf14g106;cf13f106;cf12e106;cf11d106;cf10c106;cf09b106;cf08a106
child10_parent;Kind of parent: tenth child;cf19l107;cf18k107;cf17j107;cf16i107;cf15h107;cf14g107;cf13f107;cf12e107;cf11d107;cf10c107;cf09b107;cf08a107
child11_parent;Kind of parent: eleventh child;cf19l108;cf18k108;cf17j108;cf16i108;cf15h108;cf14g108;cf13f108;cf12e108;cf11d108;cf10c108;cf09b108;cf08a108
child12_parent;Kind of parent: twelfth child;cf19l109;cf18k109;cf17j109;cf16i109;cf15h109;cf14g109;cf13f109;cf12e109;cf11d109;cf10c109;cf09b109;cf08a109
child13_parent;Kind of parent: thirteenth child;cf19l110;cf18k110;cf17j110;cf16i110;cf15h110;cf14g110;cf13f110;cf12e110;cf11d110;cf10c110;cf09b110;cf08a110
child14_parent;Kind of parent: fourteenth child;cf19l111;cf18k111;cf17j111;cf16i111;cf15h111;cf14g111;cf13f111;cf12e111;cf11d111;cf10c111;cf09b111;cf08a111
child15_parent;Kind of parent: fifteenth child;cf19l112;cf18k112;cf17j112;cf16i112;cf15h112;cf14g112;cf13f112;cf12e112;cf11d112;cf10c112;cf09b112;cf08a112
child1_partner;Current partner biological parent: first child;cf19l113;cf18k113;cf17j113;cf16i113;cf15h113;cf14g113;cf13f113;cf12e113;cf11d113;cf10c113;cf09b113;cf08a113
child2_partner;Current partner biological parent: second child;cf19l114;cf18k114;cf17j114;cf16i114;cf15h114;cf14g114;cf13f114;cf12e114;cf11d114;cf10c114;cf09b114;cf08a114
child3_partner;Current partner biological parent: third child;cf19l115;cf18k115;cf17j115;cf16i115;cf15h115;cf14g115;cf13f115;cf12e115;cf11d115;cf10c115;cf09b115;cf08a115
child4_partner;Current partner biological parent: fourth child;cf19l116;cf18k116;cf17j116;cf16i116;cf15h116;cf14g116;cf13f116;cf12e116;cf11d116;cf10c116;cf09b116;cf08a116
child5_partner;Current partner biological parent: fifth child;cf19l117;cf18k117;cf17j117;cf16i117;cf15h117;cf14g117;cf13f117;cf12e117;cf11d117;cf10c117;cf09b117;cf08a117
child6_partner;Current partner biological parent: sixth child;cf19l118;cf18k118;cf17j118;cf16i118;cf15h118;cf14g118;cf13f118;cf12e118;cf11d118;cf10c118;cf09b118;cf08a118
child7_partner;Current partner biological parent: seventh child;cf19l119;cf18k119;cf17j119;cf16i119;cf15h119;cf14g119;cf13f119;cf12e119;cf11d119;cf10c119;cf09b119;cf08a119
child8_partner;Current partner biological parent: eighth child;cf19l120;cf18k120;cf17j120;cf16i120;cf15h120;cf14g120;cf13f120;cf12e120;cf11d120;cf10c120;cf09b120;cf08a120
child9_partner;Current partner biological parent: ninth child;cf19l121;cf18k121;cf17j121;cf16i121;cf15h121;cf14g121;cf13f121;cf12e121;cf11d121;cf10c121;cf09b121;cf08a121
child10_partner;Current partner biological parent: tenth child;cf19l122;cf18k122;cf17j122;cf16i122;cf15h122;cf14g122;cf13f122;cf12e122;cf11d122;cf10c122;cf09b122;cf08a122
child11_partner;Current partner biological parent: eleventh child;cf19l123;cf18k123;cf17j123;cf16i123;cf15h123;cf14g123;cf13f123;cf12e123;cf11d123;cf10c123;cf09b123;cf08a123
child12_partner;Current partner biological parent: twelfth child;cf19l124;cf18k124;cf17j124;cf16i124;cf15h124;cf14g124;cf13f124;cf12e124;cf11d124;cf10c124;cf09b124;cf08a124
child13_partner;Current partner biological parent: thirteenth child;cf19l125;cf18k125;cf17j125;cf16i125;cf15h125;cf14g125;cf13f125;cf12e125;cf11d125;cf10c125;cf09b125;cf08a125
child14_partner;Current partner biological parent: fourteenth child;cf19l126;cf18k126;cf17j126;cf16i126;cf15h126;cf14g126;cf13f126;cf12e126;cf11d126;cf10c126;cf09b126;cf08a126
child15_partner;Current partner biological parent: fifteenth child;cf19l127;cf18k127;cf17j127;cf16i127;cf15h127;cf14g127;cf13f127;cf12e127;cf11d127;cf10c127;cf09b127;cf08a127
children_future;Do you think you will have [more] children in the future?;cf19l128;cf18k128;cf17j128;cf16i128;cf15h128;cf14g128;cf13f128;cf12e128;cf11d128;cf10c128;cf09b128;cf08a128
