new_name;labels;L_gaudecker2021_7_6p.dta;L_gaudecker2020_6_6p.dta;L_gaudecker2020_5_6p.dta;L_gaudecker2019_4_6p.dta;L_gaudecker2019_3_6p.dta;L_gaudecker2018_2_6p.dta;L_gaudecker2018_1_6p.dta
event_e1c_8;You can choose from option 1 or option 2.;keuze_5_8;keuze_5_8;keuze_5_8;keuze_5_8;keuze_5_8;keuze_5_8;keuze_5_8
event_e1c_8_1;You can choose from option 1 or option 2.;keuze_5_8_1;keuze_5_8_1;keuze_5_8_1;keuze_5_8_1;keuze_5_8_1;keuze_5_8_1;keuze_5_8_1
event_e1c_9;You can choose from option 1 or option 2.;keuze_5_9;keuze_5_9;keuze_5_9;keuze_5_9;keuze_5_9;keuze_5_9;keuze_5_9
event_e1c_9_1;You can choose from option 1 or option 2.;keuze_5_9_1;keuze_5_9_1;keuze_5_9_1;keuze_5_9_1;keuze_5_9_1;keuze_5_9_1;keuze_5_9_1
event_e2c_1;You can choose from option 1 or option 2.;keuze_6_1;keuze_6_1;keuze_6_1;keuze_6_1;keuze_6_1;keuze_6_1;keuze_6_1
event_e2c_10;You can choose from option 1 or option 2.;keuze_6_10;keuze_6_10;keuze_6_10;keuze_6_10;keuze_6_10;keuze_6_10;keuze_6_10
event_e2c_10_1;You can choose from option 1 or option 2.;keuze_6_10_1;keuze_6_10_1;keuze_6_10_1;keuze_6_10_1;keuze_6_10_1;keuze_6_10_1;keuze_6_10_1
event_e2c_11;You can choose from option 1 or option 2.;keuze_6_11;keuze_6_11;keuze_6_11;keuze_6_11;keuze_6_11;keuze_6_11;keuze_6_11
event_e2c_11_1;You can choose from option 1 or option 2.;keuze_6_11_1;keuze_6_11_1;keuze_6_11_1;keuze_6_11_1;keuze_6_11_1;keuze_6_11_1;keuze_6_11_1
event_e2c_12;You can choose from option 1 or option 2.;keuze_6_12;keuze_6_12;keuze_6_12;keuze_6_12;keuze_6_12;keuze_6_12;keuze_6_12
event_e2c_12_1;You can choose from option 1 or option 2.;keuze_6_12_1;keuze_6_12_1;keuze_6_12_1;keuze_6_12_1;keuze_6_12_1;keuze_6_12_1;keuze_6_12_1
event_e2c_13;You can choose from option 1 or option 2.;keuze_6_13;keuze_6_13;keuze_6_13;keuze_6_13;keuze_6_13;keuze_6_13;keuze_6_13
event_e2c_13_1;You can choose from option 1 or option 2.;keuze_6_13_1;keuze_6_13_1;keuze_6_13_1;keuze_6_13_1;keuze_6_13_1;keuze_6_13_1;keuze_6_13_1
event_e2c_1_1;You can choose from option 1 or option 2.;keuze_6_1_1;keuze_6_1_1;keuze_6_1_1;keuze_6_1_1;keuze_6_1_1;keuze_6_1_1;keuze_6_1_1
event_e2c_2;You can choose from option 1 or option 2.;keuze_6_2;keuze_6_2;keuze_6_2;keuze_6_2;keuze_6_2;keuze_6_2;keuze_6_2
event_e2c_2_1;You can choose from option 1 or option 2.;keuze_6_2_1;keuze_6_2_1;keuze_6_2_1;keuze_6_2_1;keuze_6_2_1;keuze_6_2_1;keuze_6_2_1
event_e2c_3;You can choose from option 1 or option 2.;keuze_6_3;keuze_6_3;keuze_6_3;keuze_6_3;keuze_6_3;keuze_6_3;keuze_6_3
event_e2c_3_1;You can choose from option 1 or option 2.;keuze_6_3_1;keuze_6_3_1;keuze_6_3_1;keuze_6_3_1;keuze_6_3_1;keuze_6_3_1;keuze_6_3_1
event_e2c_4;You can choose from option 1 or option 2.;keuze_6_4;keuze_6_4;keuze_6_4;keuze_6_4;keuze_6_4;keuze_6_4;keuze_6_4
event_e2c_4_1;You can choose from option 1 or option 2.;keuze_6_4_1;keuze_6_4_1;keuze_6_4_1;keuze_6_4_1;keuze_6_4_1;keuze_6_4_1;keuze_6_4_1
event_e2c_5;You can choose from option 1 or option 2.;keuze_6_5;keuze_6_5;keuze_6_5;keuze_6_5;keuze_6_5;keuze_6_5;keuze_6_5
event_e2c_5_1;You can choose from option 1 or option 2.;keuze_6_5_1;keuze_6_5_1;keuze_6_5_1;keuze_6_5_1;keuze_6_5_1;keuze_6_5_1;keuze_6_5_1
event_e2c_6;You can choose from option 1 or option 2.;keuze_6_6;keuze_6_6;keuze_6_6;keuze_6_6;keuze_6_6;keuze_6_6;keuze_6_6
event_e2c_6_1;You can choose from option 1 or option 2.;keuze_6_6_1;keuze_6_6_1;keuze_6_6_1;keuze_6_6_1;keuze_6_6_1;keuze_6_6_1;keuze_6_6_1
event_e2c_7;You can choose from option 1 or option 2.;keuze_6_7;keuze_6_7;keuze_6_7;keuze_6_7;keuze_6_7;keuze_6_7;keuze_6_7
event_e2c_7_1;You can choose from option 1 or option 2.;keuze_6_7_1;keuze_6_7_1;keuze_6_7_1;keuze_6_7_1;keuze_6_7_1;keuze_6_7_1;keuze_6_7_1
event_e2c_8;You can choose from option 1 or option 2.;keuze_6_8;keuze_6_8;keuze_6_8;keuze_6_8;keuze_6_8;keuze_6_8;keuze_6_8
event_e2c_8_1;You can choose from option 1 or option 2.;keuze_6_8_1;keuze_6_8_1;keuze_6_8_1;keuze_6_8_1;keuze_6_8_1;keuze_6_8_1;keuze_6_8_1
event_e2c_9;You can choose from option 1 or option 2.;keuze_6_9;keuze_6_9;keuze_6_9;keuze_6_9;keuze_6_9;keuze_6_9;keuze_6_9
event_e2c_9_1;You can choose from option 1 or option 2.;keuze_6_9_1;keuze_6_9_1;keuze_6_9_1;keuze_6_9_1;keuze_6_9_1;keuze_6_9_1;keuze_6_9_1
event_e3c_1;You can choose from option 1 or option 2.;keuze_7_1;keuze_7_1;keuze_7_1;keuze_7_1;keuze_7_1;keuze_7_1;keuze_7_1
event_e3c_10;You can choose from option 1 or option 2.;keuze_7_10;keuze_7_10;keuze_7_10;keuze_7_10;keuze_7_10;keuze_7_10;keuze_7_10
event_e3c_10_1;You can choose from option 1 or option 2.;keuze_7_10_1;keuze_7_10_1;keuze_7_10_1;keuze_7_10_1;keuze_7_10_1;keuze_7_10_1;keuze_7_10_1
event_e3c_11;You can choose from option 1 or option 2.;keuze_7_11;keuze_7_11;keuze_7_11;keuze_7_11;keuze_7_11;keuze_7_11;keuze_7_11
event_e3c_11_1;You can choose from option 1 or option 2.;keuze_7_11_1;keuze_7_11_1;keuze_7_11_1;keuze_7_11_1;keuze_7_11_1;keuze_7_11_1;keuze_7_11_1
event_e3c_12;You can choose from option 1 or option 2.;keuze_7_12;keuze_7_12;keuze_7_12;keuze_7_12;keuze_7_12;keuze_7_12;keuze_7_12
event_e3c_12_1;You can choose from option 1 or option 2.;keuze_7_12_1;keuze_7_12_1;keuze_7_12_1;keuze_7_12_1;keuze_7_12_1;keuze_7_12_1;keuze_7_12_1
event_e3c_13;You can choose from option 1 or option 2.;keuze_7_13;keuze_7_13;keuze_7_13;keuze_7_13;keuze_7_13;keuze_7_13;keuze_7_13
event_e3c_13_1;You can choose from option 1 or option 2.;keuze_7_13_1;keuze_7_13_1;keuze_7_13_1;keuze_7_13_1;keuze_7_13_1;keuze_7_13_1;keuze_7_13_1
event_e3c_1_1;You can choose from option 1 or option 2.;keuze_7_1_1;keuze_7_1_1;keuze_7_1_1;keuze_7_1_1;keuze_7_1_1;keuze_7_1_1;keuze_7_1_1
event_e3c_2;You can choose from option 1 or option 2.;keuze_7_2;keuze_7_2;keuze_7_2;keuze_7_2;keuze_7_2;keuze_7_2;keuze_7_2
event_e3c_2_1;You can choose from option 1 or option 2.;keuze_7_2_1;keuze_7_2_1;keuze_7_2_1;keuze_7_2_1;keuze_7_2_1;keuze_7_2_1;keuze_7_2_1
event_e3c_3;You can choose from option 1 or option 2.;keuze_7_3;keuze_7_3;keuze_7_3;keuze_7_3;keuze_7_3;keuze_7_3;keuze_7_3
event_e3c_3_1;You can choose from option 1 or option 2.;keuze_7_3_1;keuze_7_3_1;keuze_7_3_1;keuze_7_3_1;keuze_7_3_1;keuze_7_3_1;keuze_7_3_1
event_e3c_4;You can choose from option 1 or option 2.;keuze_7_4;keuze_7_4;keuze_7_4;keuze_7_4;keuze_7_4;keuze_7_4;keuze_7_4
event_e3c_4_1;You can choose from option 1 or option 2.;keuze_7_4_1;keuze_7_4_1;keuze_7_4_1;keuze_7_4_1;keuze_7_4_1;keuze_7_4_1;keuze_7_4_1
event_e3c_5;You can choose from option 1 or option 2.;keuze_7_5;keuze_7_5;keuze_7_5;keuze_7_5;keuze_7_5;keuze_7_5;keuze_7_5
event_e3c_5_1;You can choose from option 1 or option 2.;keuze_7_5_1;keuze_7_5_1;keuze_7_5_1;keuze_7_5_1;keuze_7_5_1;keuze_7_5_1;keuze_7_5_1
event_e3c_6;You can choose from option 1 or option 2.;keuze_7_6;keuze_7_6;keuze_7_6;keuze_7_6;keuze_7_6;keuze_7_6;keuze_7_6
event_e3c_6_1;You can choose from option 1 or option 2.;keuze_7_6_1;keuze_7_6_1;keuze_7_6_1;keuze_7_6_1;keuze_7_6_1;keuze_7_6_1;keuze_7_6_1
event_e3c_7;You can choose from option 1 or option 2.;keuze_7_7;keuze_7_7;keuze_7_7;keuze_7_7;keuze_7_7;keuze_7_7;keuze_7_7
event_e3c_7_1;You can choose from option 1 or option 2.;keuze_7_7_1;keuze_7_7_1;keuze_7_7_1;keuze_7_7_1;keuze_7_7_1;keuze_7_7_1;keuze_7_7_1
event_e3c_8;You can choose from option 1 or option 2.;keuze_7_8;keuze_7_8;keuze_7_8;keuze_7_8;keuze_7_8;keuze_7_8;keuze_7_8
event_e3c_8_1;You can choose from option 1 or option 2.;keuze_7_8_1;keuze_7_8_1;keuze_7_8_1;keuze_7_8_1;keuze_7_8_1;keuze_7_8_1;keuze_7_8_1
event_e3c_9;You can choose from option 1 or option 2.;keuze_7_9;keuze_7_9;keuze_7_9;keuze_7_9;keuze_7_9;keuze_7_9;keuze_7_9
event_e3c_9_1;You can choose from option 1 or option 2.;keuze_7_9_1;keuze_7_9_1;keuze_7_9_1;keuze_7_9_1;keuze_7_9_1;keuze_7_9_1;keuze_7_9_1
birth_year;Year of birth;gebjaar;gebjaar;gebjaar;gebjaar;gebjaar;gebjaar;gebjaar
gender;Sex;geslacht;geslacht;geslacht;geslacht;geslacht;geslacht;geslacht
age;Age of household member;leeftijd;leeftijd;leeftijd;leeftijd;leeftijd;leeftijd;leeftijd
age_cbs;Age in CBS categories;lftdcat;lftdcat;lftdcat;lftdcat;lftdcat;lftdcat;lftdcat
education_cbs;Training in CBS categories;oplcat;oplcat;oplcat;oplcat;oplcat;oplcat;oplcat
education_diploma;Highest training with diploma;oplmet;oplmet;oplmet;oplmet;oplmet;oplmet;oplmet
education_nodiploma;Highest training regardless of diploma;oplzon;oplzon;oplzon;oplzon;oplzon;oplzon;oplzon
occupation;Main activity;belbezig;belbezig;belbezig;belbezig;belbezig;belbezig;belbezig
hh_position;Position in the household;p_positie;positie;positie;positie;positie;positie;positie
civil_status;Marital status;burgstat;burgstat;burgstat;burgstat;burgstat;burgstat;burgstat
hh_members;Number of members in the household;aantalhh;aantalhh;aantalhh;aantalhh;aantalhh;aantalhh;aantalhh
hh_children;Number of children living at home in the household;aantalki;aantalki;aantalki;aantalki;aantalki;aantalki;aantalki
hh_head_age;Age of the household head;lftdhhh;lftdhhh;lftdhhh;lftdhhh;lftdhhh;lftdhhh;lftdhhh
hhh_partner;The head of household lives with a partner (married or unmarried);partner;partner;partner;partner;partner;partner;partner
dom_situation;Residential form household;woonvorm;woonvorm;woonvorm;woonvorm;woonvorm;woonvorm;woonvorm
dwelling_type;Type of house in which the household lives;woning;woning;woning;woning;woning;woning;woning
location_urban;Urbanity residence;sted;sted;sted;sted;sted;sted;sted
gross_income_cat;Personal gross monthly income in categories;brutocat;brutocat;brutocat;brutocat;brutocat;brutocat;brutocat
gross_income_incl_cat;Personal gross monthly income in euros;brutoink;brutoink;brutoink;brutoink;brutoink;brutoink;brutoink
gross_income_imputed;Personal gross income, imputed;brutoink_f;brutoink_f;brutoink_f;brutoink_f;brutoink_f;brutoink_f;brutoink_f
gross_income_hh;Gross household income,imputed;brutohh_f;brutohh_f;brutohh_f;brutohh_f;brutohh_f;brutohh_f;brutohh_f
net_income_original;Personal net income,original value;netinc;netinc;netinc;netinc;netinc;netinc;netinc
net_income_cat;Personal net monthly income in categories;nettocat;nettocat;nettocat;nettocat;nettocat;nettocat;nettocat
net_income_incl_cat;Personal net monthly income in euros;nettoink;nettoink;nettoink;nettoink;nettoink;nettoink;nettoink
net_income_imputed;Personal net income,imputed ;nettoink_f;nettoink_f;nettoink_f;nettoink_f;nettoink_f;nettoink_f;nettoink_f
net_income_hh;Net income of the household, imputed;nettohh_f;nettohh_f;nettohh_f;nettohh_f;nettohh_f;nettohh_f;nettohh_f
financial_decider;Does the financial affairs;account;account;account;account;account;account;account
demonstration;To show how it works, you will see the example again. Choose now;voorbeeld;voorbeeld;voorbeeld;voorbeeld;voorbeeld;voorbeeld;voorbeeld
further_comments;Do you have further comments on this questionnaire?;opm;opm;opm;opm;opm;opm;opm
identifier_from_buttun;Tekst behorend bij gekozen spel,brandom,wave 4;text;text;text;text;text;text;text
prob_num_10w0r_chance_r;First, suppose that there are 10 white balls in the bin and not a red one. Without you;;F1;;;;F1;
prob_num_7w3r_chance_w;Now suppose that there are 7 white balls and 3 red balls in the box. On a scale v;;F2;;;;F2;
prob_num_70_chance_not;Suppose the weather forecast predicts that the probability that it will rain tomorrow is 70%. Go;;F3;;;;F3;
prob_num_50_50_indepchance_both;How great is the chance that it will rain in your home and also in New York tomorrow?;;F4;;;;F4;
prob_num_coin_gamblers_fallacy;How great is the chance that if your friend throws one more time it will be currency?;;F5;;;;F5;
prob_num_chance_subset;Suppose the chance that tomorrow will be at least 10 degrees Celsius is 50%. What is da;;F6;;;;F6;
prob_num_chance_superset;Suppose the chance that tomorrow will be at least 10 degrees Celsius is 50%. What is da;;F7;;;;F7;
factors_when_investing;Indicate which reasons are important to you if you decide what you are doing with your sp;;;;;;PortfolioChoice;
aex_interval_1_last_wave;Preload variable - AEX interval wave 1;aex_interval_1;aex_interval_1;aex_interval_1;aex_interval_1;aex_interval_1;aex_interval_1;
aex_interval_2_last_wave;Preload variable - AEX interval wave 1;aex_interval_2;aex_interval_2;aex_interval_2;aex_interval_2;aex_interval_2;aex_interval_2;
aex_perf;Preload variable - Performance AEX wave 1;aex_perf;aex_perf;aex_perf;aex_perf;aex_perf;aex_perf;
aex_won;Preload variable - Result of AEX with chosen game wave 1;aex_won;aex_won;aex_won;aex_won;aex_won;aex_won;
answered_last_wave;Preload variable - Whether or not the choice is answered at wave 1;answered;answered;answered;answered;answered;answered;
choice_last_wave;Preload variable - Choice of chosen game wave 1;choice;choice;choice;choice;choice;choice;
date_last_wave;Preload variable - Date of completion wave 1;f_date;f_date;f_date;date;date;date;
lot_last_wave;Which lottery is shown with the chosen game wave 1;f_lot_prob;f_lot_prob;f_lot_prob;f_lot_prob;f_lot_prob;f_lot_prob;
result_game_last_wave;The result of the chosen game wave 1, in textual form;f_uitslag;f_uitslag;f_uitslag;f_uitslag;f_uitslag;f_uitslag;
final_position_wheel;Preload variable - wave 1;final_position;final_position;final_position;final_position;final_position;final_position;
fin_num_interest_basic;Suppose you have 1000 euros in a savings account and the interest is 1% per year. Homestead;;finlit1;;;;finlit1;
fin_num_interest;Suppose you put 1000 euros on a savings account and that it is certain that you run 0.3%;;finlit2;;;;finlit2;
fin_num_interest_compound;And how much will there be in this account after five years? Is this:;;finlit3;;;;finlit3;
fin_num_inflation;Suppose that the interest on your savings account is 1% per year, and that inflation is the same;;finlit4;;;;finlit4;
wants_intro;Do you want this explanation?;intro_beliefs2;intro_beliefs2;intro_beliefs2;intro_beliefs2;;intro_beliefs2;
lottery_col_last_wave;Color of the outcome of lottery with the chosen game wave 1;kleur;kleur;kleur;kleur;;kleur;
lot_prob_last_wave;Preload variable - Which lottery is shown with the chosen game wave 1;lot_prob;lot_prob;lot_prob;lot_prob;;lot_prob;
lottery_won_last_wave;Preload variable - Result of lottery at chosen game wave 1;lottery_won;lottery_won;lottery_won;lottery_won;;lottery_won;
is_mobile;Is the mobile layout used.;mobile;mobile;mobile;mobile;mobile;mobile;
text_w1;Preload variable - Text with chosen game arandom, wave 1;text_a;text_a;text_a;text_a;;text_a;
text_w2;;;;;;text_b;;
financial_adv;;;;;;FinancialAdvice;;
hist_perf_e1_nocheck;;;;;;hist_perf_1_nocheck;;
hist_perf_e3_nocheck;;;;;;hist_perf_2_nocheck;;
hist_perf_e2_nocheck;;;;;;hist_perf_3_nocheck;;
hist_perf_e1;;;;;;hist_perf_1;;
hist_perf_e3;;;;;;hist_perf_2;;
hist_perf_e2;;;;;;hist_perf_3;;
hist_perf_sum;;;;;;hist_perf_totaal;;
hist_perf_e0_nocheck;;;;;;HistoricPerformance2;;
agree_future_like_past;;;;;;Predictor;;
agree_future_like_past_2;;;;;;Predictor_a;;
why_agree_future_like_past;;;;;;predict_toel;;
exit_message_temp;Assign variable;;;;f_exit_clim;;;
choice_message_temp;Assign variable;;;;f_uitbetaling_clim;;;
climate_change_knowledge;Hoe zou u uw kennis van de oorzaken en de gevolgen van klimaatverandering omschr;;;;klimaat1;;;
climate_change_threat;Geef aan of u het eens bent met de volgende uitspraak: Klimaatverandering is een;;;;klimaat2;;;
event_e0_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_1;;;
event_e0_2_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_2;;;
event_e0_4_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_4;;;
event_e0_8_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_8;;;
event_e0_5_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_5;;;
event_e0_9_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_9;;;
event_e0_10_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_10;;;
event_e0_3_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_3;;;
event_e0_6_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_6;;;
event_e0_11_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_11;;;
event_e0_12_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_12;;;
event_e0_7_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_7;;;
event_e0_13_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_1_13;;;
event_e1_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_1;;;
event_e1_2_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_2;;;
event_e1_4_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_4;;;
event_e1_8_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_8;;;
event_e1_5_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_5;;;
event_e1_9_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_9;;;
event_e1_10_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_10;;;
event_e1_3_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_3;;;
event_e1_6_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_6;;;
event_e1_11_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_11;;;
event_e1_12_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_12;;;
event_e1_7_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_7;;;
event_e1_13_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_2_13;;;
event_e2_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_1;;;
event_e2_2_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_2;;;
event_e2_4_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_4;;;
event_e2_8_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_8;;;
event_e2_5_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_5;;;
event_e2_9_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_9;;;
event_e2_10_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_10;;;
event_e2_3_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_3;;;
event_e2_6_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_6;;;
event_e2_11_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_11;;;
event_e2_12_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_12;;;
event_e2_7_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_7;;;
event_e2_13_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_13;;;
event_e3_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_1;;;
event_e3_2_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_2;;;
event_e3_4_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_4;;;
event_e3_8_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_8;;;
event_e3_5_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_5;;;
event_e3_9_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_9;;;
event_e3_10_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_10;;;
event_e3_3_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_3;;;
event_e3_6_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_6;;;
event_e3_11_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_11;;;
event_e3_12_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_12;;;
event_e3_7_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_7;;;
event_e3_13_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_13;;;
event_e1c_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_1;;;
event_e1c_2_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_2;;;
event_e1c_4_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_4;;;
event_e1c_8_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_8;;;
event_e1c_5_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_5;;;
