new_name;labels;cs19l_EN_1.0p.dta;cs18k_EN_1.0p.dta;cs17j_EN_1.0p.dta;cs16i_EN_1.0p.dta;cs15h_EN_1.0p.dta;cs14g_EN_1.0.dta;cs13f_1.0p_EN.dta;cs12e_1.0p_EN.dta;cs11d_EN_3.0p.dta;cs10c_1p_EN.dta;cs09b_1p_EN.dta;cs08a_2p_EN.dta
satisfied_ltamount;How satisfied are you with the amount of leisure time that you have?;cs19l001;cs18k001;cs17j001;cs16i001;cs15h001;cs14g001;cs13f001;cs12e001;cs11d001;cs10c001;cs09b001;cs08a001
satisfied_ltway;How satisfied are you with the way in which you spend your leisure time?;cs19l002;cs18k002;cs17j002;cs16i002;cs15h002;cs14g002;cs13f002;cs12e002;cs11d002;cs10c002;cs09b002;cs08a002
no_sportclub;a sports club or club for outdoor activities no connection;cs19l003;cs18k003;cs17j003;cs16i003;cs15h003;cs14g003;cs13f003;cs12e003;cs11d003;cs10c003;cs09b003;cs08a003
benefactor_sportclub;a sports club or club for outdoor activities donated money;cs19l004;cs18k004;cs17j004;cs16i004;cs15h004;cs14g004;cs13f004;cs12e004;cs11d004;cs10c004;cs09b004;cs08a004
participant_sportclub;a sports club or club for outdoor activities participated in an activity;cs19l005;cs18k005;cs17j005;cs16i005;cs15h005;cs14g005;cs13f005;cs12e005;cs11d005;cs10c005;cs09b005;cs08a005
member_sportclub;a sports club or club for outdoor activities member;cs19l006;cs18k006;cs17j006;cs16i006;cs15h006;cs14g006;cs13f006;cs12e006;cs11d006;cs10c006;cs09b006;cs08a006
volunteer_sportclub;a sports club or club for outdoor activities performed voluntary work;cs19l007;cs18k007;cs17j007;cs16i007;cs15h007;cs14g007;cs13f007;cs12e007;cs11d007;cs10c007;cs09b007;cs08a007
no_cultural;a cultural association or hobby club no connection;cs19l008;cs18k008;cs17j008;cs16i008;cs15h008;cs14g008;cs13f008;cs12e008;cs11d008;cs10c008;cs09b008;cs08a008
benefactor_cultural;a cultural association or hobby club donated money;cs19l009;cs18k009;cs17j009;cs16i009;cs15h009;cs14g009;cs13f009;cs12e009;cs11d009;cs10c009;cs09b009;cs08a009
participant_cultural;a cultural association or hobby club participated in an activity;cs19l010;cs18k010;cs17j010;cs16i010;cs15h010;cs14g010;cs13f010;cs12e010;cs11d010;cs10c010;cs09b010;cs08a010
member_cultural;a cultural association or hobby club member;cs19l011;cs18k011;cs17j011;cs16i011;cs15h011;cs14g011;cs13f011;cs12e011;cs11d011;cs10c011;cs09b011;cs08a011
volunteer_cultural;a cultural association or hobby club performed voluntary work;cs19l012;cs18k012;cs17j012;cs16i012;cs15h012;cs14g012;cs13f012;cs12e012;cs11d012;cs10c012;cs09b012;cs08a012
no_tradeunion;a trade union no connection;cs19l013;cs18k013;cs17j013;cs16i013;cs15h013;cs14g013;cs13f013;cs12e013;cs11d013;cs10c013;cs09b013;cs08a013
benefactor_tradeunion;a trade union donated money;cs19l014;cs18k014;cs17j014;cs16i014;cs15h014;cs14g014;cs13f014;cs12e014;cs11d014;cs10c014;cs09b014;cs08a014
participant_tradeunion;a trade union participated in an activity;cs19l015;cs18k015;cs17j015;cs16i015;cs15h015;cs14g015;cs13f015;cs12e015;cs11d015;cs10c015;cs09b015;cs08a015
member_tradeunion;a trade union member;cs19l016;cs18k016;cs17j016;cs16i016;cs15h016;cs14g016;cs13f016;cs12e016;cs11d016;cs10c016;cs09b016;cs08a016
volunteer_tradeunion;a trade union performed voluntary work;cs19l017;cs18k017;cs17j017;cs16i017;cs15h017;cs14g017;cs13f017;cs12e017;cs11d017;cs10c017;cs09b017;cs08a017
no_business;a business professional or agrarian organization no connection;cs19l018;cs18k018;cs17j018;cs16i018;cs15h018;cs14g018;cs13f018;cs12e018;cs11d018;cs10c018;cs09b018;cs08a018
benefactor_business;a business professional or agrarian organization donated money;cs19l019;cs18k019;cs17j019;cs16i019;cs15h019;cs14g019;cs13f019;cs12e019;cs11d019;cs10c019;cs09b019;cs08a019
participant_business;a business professional or agrarian organization participated in an activity;cs19l020;cs18k020;cs17j020;cs16i020;cs15h020;cs14g020;cs13f020;cs12e020;cs11d020;cs10c020;cs09b020;cs08a020
member_business;a business professional or agrarian organization member;cs19l021;cs18k021;cs17j021;cs16i021;cs15h021;cs14g021;cs13f021;cs12e021;cs11d021;cs10c021;cs09b021;cs08a021
volunteer_business;a business professional or agrarian organization performed voluntary work;cs19l022;cs18k022;cs17j022;cs16i022;cs15h022;cs14g022;cs13f022;cs12e022;cs11d022;cs10c022;cs09b022;cs08a022
no_consumerorg;a consumers organization or automobile club no connection;cs19l023;cs18k023;cs17j023;cs16i023;cs15h023;cs14g023;cs13f023;cs12e023;cs11d023;cs10c023;cs09b023;cs08a023
benefactor_consumerorg;a consumers organization or automobile club donated money;cs19l024;cs18k024;cs17j024;cs16i024;cs15h024;cs14g024;cs13f024;cs12e024;cs11d024;cs10c024;cs09b024;cs08a024
participant_consumerorg;a consumers organization or automobile club participated in an activity;cs19l025;cs18k025;cs17j025;cs16i025;cs15h025;cs14g025;cs13f025;cs12e025;cs11d025;cs10c025;cs09b025;cs08a025
member_consumerorg;a consumers organization or automobile club member;cs19l026;cs18k026;cs17j026;cs16i026;cs15h026;cs14g026;cs13f026;cs12e026;cs11d026;cs10c026;cs09b026;cs08a026
volunteer_consumerorg;a consumers organization or automobile club performed voluntary work;cs19l027;cs18k027;cs17j027;cs16i027;cs15h027;cs14g027;cs13f027;cs12e027;cs11d027;cs10c027;cs09b027;cs08a027
no_humanitarian;an organization for humanitarian aid human rights minorities or migrants no c;cs19l028;cs18k028;cs17j028;cs16i028;cs15h028;cs14g028;cs13f028;cs12e028;cs11d028;cs10c028;cs09b028;cs08a028
benefactor_humanitarian;an organization for humanitarian aid human rights minorities or migrants dona;cs19l029;cs18k029;cs17j029;cs16i029;cs15h029;cs14g029;cs13f029;cs12e029;cs11d029;cs10c029;cs09b029;cs08a029
participant_humanitarian;an organization for humanitarian aid human rights minorities or migrants part;cs19l030;cs18k030;cs17j030;cs16i030;cs15h030;cs14g030;cs13f030;cs12e030;cs11d030;cs10c030;cs09b030;cs08a030
member_humanitarian;an organization for humanitarian aid human rights minorities or migrants memb;cs19l031;cs18k031;cs17j031;cs16i031;cs15h031;cs14g031;cs13f031;cs12e031;cs11d031;cs10c031;cs09b031;cs08a031
volunteer_humanitarian;an organization for humanitarian aid human rights minorities or migrants perf;cs19l032;cs18k032;cs17j032;cs16i032;cs15h032;cs14g032;cs13f032;cs12e032;cs11d032;cs10c032;cs09b032;cs08a032
no_environmental;an organization for environmental protection peace organization or animal right;cs19l033;cs18k033;cs17j033;cs16i033;cs15h033;cs14g033;cs13f033;cs12e033;cs11d033;cs10c033;cs09b033;cs08a033
benefactor_environmental;an organization for environmental protection peace organization or animal right;cs19l034;cs18k034;cs17j034;cs16i034;cs15h034;cs14g034;cs13f034;cs12e034;cs11d034;cs10c034;cs09b034;cs08a034
participant_environmental;an organization for environmental protection peace organization or animal right;cs19l035;cs18k035;cs17j035;cs16i035;cs15h035;cs14g035;cs13f035;cs12e035;cs11d035;cs10c035;cs09b035;cs08a035
member_environmental;an organization for environmental protection peace organization or animal right;cs19l036;cs18k036;cs17j036;cs16i036;cs15h036;cs14g036;cs13f036;cs12e036;cs11d036;cs10c036;cs09b036;cs08a036
volunteer_environmental;an organization for environmental protection peace organization or animal right;cs19l037;cs18k037;cs17j037;cs16i037;cs15h037;cs14g037;cs13f037;cs12e037;cs11d037;cs10c037;cs09b037;cs08a037
no_religious;a religious or church organization no connection;cs19l038;cs18k038;cs17j038;cs16i038;cs15h038;cs14g038;cs13f038;cs12e038;cs11d038;cs10c038;cs09b038;cs08a038
benefactor_religious;a religious or church organization donated money;cs19l039;cs18k039;cs17j039;cs16i039;cs15h039;cs14g039;cs13f039;cs12e039;cs11d039;cs10c039;cs09b039;cs08a039
participant_religious;a religious or church organization participated in an activity;cs19l040;cs18k040;cs17j040;cs16i040;cs15h040;cs14g040;cs13f040;cs12e040;cs11d040;cs10c040;cs09b040;cs08a040
member_religious;a religious or church organization member;cs19l041;cs18k041;cs17j041;cs16i041;cs15h041;cs14g041;cs13f041;cs12e041;cs11d041;cs10c041;cs09b041;cs08a041
volunteer_religious;a religious or church organization performed voluntary work;cs19l042;cs18k042;cs17j042;cs16i042;cs15h042;cs14g042;cs13f042;cs12e042;cs11d042;cs10c042;cs09b042;cs08a042
no_political;a political party no connection;cs19l043;cs18k043;cs17j043;cs16i043;cs15h043;cs14g043;cs13f043;cs12e043;cs11d043;cs10c043;cs09b043;cs08a043
benefactor_political;a political party donated money;cs19l044;cs18k044;cs17j044;cs16i044;cs15h044;cs14g044;cs13f044;cs12e044;cs11d044;cs10c044;cs09b044;cs08a044
participant_politial;a political party participated in an activity;cs19l045;cs18k045;cs17j045;cs16i045;cs15h045;cs14g045;cs13f045;cs12e045;cs11d045;cs10c045;cs09b045;cs08a045
member_political;a political party member;cs19l046;cs18k046;cs17j046;cs16i046;cs15h046;cs14g046;cs13f046;cs12e046;cs11d046;cs10c046;cs09b046;cs08a046
volunteer_political;a political party performed voluntary work;cs19l047;cs18k047;cs17j047;cs16i047;cs15h047;cs14g047;cs13f047;cs12e047;cs11d047;cs10c047;cs09b047;cs08a047
no_science;a science education teachers or parents association no connection;cs19l048;cs18k048;cs17j048;cs16i048;cs15h048;cs14g048;cs13f048;cs12e048;cs11d048;cs10c048;cs09b048;cs08a048
benefactor_science;a science education teachers or parents association donated money;cs19l049;cs18k049;cs17j049;cs16i049;cs15h049;cs14g049;cs13f049;cs12e049;cs11d049;cs10c049;cs09b049;cs08a049
participant_science;a science education teachers or parents association participated in an activi;cs19l050;cs18k050;cs17j050;cs16i050;cs15h050;cs14g050;cs13f050;cs12e050;cs11d050;cs10c050;cs09b050;cs08a050
member_science;a science education teachers or parents association member;cs19l051;cs18k051;cs17j051;cs16i051;cs15h051;cs14g051;cs13f051;cs12e051;cs11d051;cs10c051;cs09b051;cs08a051
volunteer_science;a science education teachers or parents association performed voluntary work;cs19l052;cs18k052;cs17j052;cs16i052;cs15h052;cs14g052;cs13f052;cs12e052;cs11d052;cs10c052;cs09b052;cs08a052
no_social;a social club an association for youth pensioners/senior citizens women or f;cs19l053;cs18k053;cs17j053;cs16i053;cs15h053;cs14g053;cs13f053;cs12e053;cs11d053;cs10c053;cs09b053;cs08a053
benefactor_social;a social society an association for youth pensioners/senior citizens women o;cs19l054;cs18k054;cs17j054;cs16i054;cs15h054;cs14g054;cs13f054;cs12e054;cs11d054;cs10c054;cs09b054;cs08a054
participant_social;a social society an association for youth pensioners/senior citizens women o;cs19l055;cs18k055;cs17j055;cs16i055;cs15h055;cs14g055;cs13f055;cs12e055;cs11d055;cs10c055;cs09b055;cs08a055
member_social;a social society an association for youth pensioners/senior citizens women o;cs19l056;cs18k056;cs17j056;cs16i056;cs15h056;cs14g056;cs13f056;cs12e056;cs11d056;cs10c056;cs09b056;cs08a056
volunteer_social;a social society an association for youth pensioners/senior citizens women o;cs19l057;cs18k057;cs17j057;cs16i057;cs15h057;cs14g057;cs13f057;cs12e057;cs11d057;cs10c057;cs09b057;cs08a057
no_other;other organizations that you can freely join no connection;cs19l058;cs18k058;cs17j058;cs16i058;cs15h058;cs14g058;cs13f058;cs12e058;cs11d058;cs10c058;cs09b058;cs08a058
benfactor_other;other organizations that you can freely join donated money;cs19l059;cs18k059;cs17j059;cs16i059;cs15h059;cs14g059;cs13f059;cs12e059;cs11d059;cs10c059;cs09b059;cs08a059
participant_other;other organizations that you can freely join participated in an activity;cs19l060;cs18k060;cs17j060;cs16i060;cs15h060;cs14g060;cs13f060;cs12e060;cs11d060;cs10c060;cs09b060;cs08a060
member_other;other organizations that you can freely join member;cs19l061;cs18k061;cs17j061;cs16i061;cs15h061;cs14g061;cs13f061;cs12e061;cs11d061;cs10c061;cs09b061;cs08a061
volunteer_other;other organizations that you can freely join performed voluntary work;cs19l062;cs18k062;cs17j062;cs16i062;cs15h062;cs14g062;cs13f062;cs12e062;cs11d062;cs10c062;cs09b062;cs08a062
provide_care_d;Did you perform any informal care over the past 12 months?;cs19l063;cs18k063;cs17j063;cs16i063;cs15h063;cs14g063;cs13f063;cs12e063;cs11d063;cs10c063;cs09b063;cs08a063
provide_care_cat;How were you related to this person? The person to whom I provided informal care;cs19l064;cs18k064;cs17j064;cs16i064;cs15h064;cs14g064;cs13f064;cs12e064;cs11d064;cs10c064;cs09b064;cs08a064
provide_care_txt;How were you related to this person? The person to whom I provided informal care;cs19l065;cs18k065;cs17j065;cs16i065;cs15h065;cs14g065;cs13f065;cs12e065;cs11d065;cs10c065;cs09b065;cs08a065
hours_provide_care;How many hours of informal care did you provide per week on average?;cs19l066;cs18k066;cs17j066;cs16i066;cs15h066;cs14g066;cs13f066;cs12e066;cs11d066;cs10c066;cs09b066;cs08a066
provide_care_housekeeping;housekeeping help (e.g. cleaning laundry grocery shopping);cs19l067;cs18k067;cs17j067;cs16i067;cs15h067;cs14g067;cs13f067;cs12e067;cs11d067;cs10c067;cs09b067;cs08a067
provide_care_personalcare;personal care (e.g. bathing showering dressing);cs19l068;cs18k068;cs17j068;cs16i068;cs15h068;cs14g068;cs13f068;cs12e068;cs11d068;cs10c068;cs09b068;cs08a068
provide_care_personalsupport;personal support (e.g. arranging affairs offering solace listening);cs19l069;cs18k069;cs17j069;cs16i069;cs15h069;cs14g069;cs13f069;cs12e069;cs11d069;cs10c069;cs09b069;cs08a069
receive_care_d;Did you personally receive informal care over the past 12 months on account of a;cs19l070;cs18k070;cs17j070;cs16i070;cs15h070;cs14g070;cs13f070;cs12e070;cs11d070;cs10c070;cs09b070;cs08a070
receive_care_cat;How were you related to this person? The person from whom I received informal ca;cs19l071;cs18k071;cs17j071;cs16i071;cs15h071;cs14g071;cs13f071;cs12e071;cs11d071;cs10c071;cs09b071;cs08a071
receive_care_txt;How were you related to this person? The person from whom I received informal ca;cs19l072;cs18k072;cs17j072;cs16i072;cs15h072;cs14g072;cs13f072;cs12e072;cs11d072;cs10c072;cs09b072;cs08a072
hours_receive_care;How many hours of help did you receive per week on average?;cs19l073;cs18k073;cs17j073;cs16i073;cs15h073;cs14g073;cs13f073;cs12e073;cs11d073;cs10c073;cs09b073;cs08a073
receive_care_housekeeping;housekeeping help (e.g. cleaning laundry grocery shopping);cs19l074;cs18k074;cs17j074;cs16i074;cs15h074;cs14g074;cs13f074;cs12e074;cs11d074;cs10c074;cs09b074;cs08a074
receive_care_personalcare;personal care (e.g. bathing showering dressing);cs19l075;cs18k075;cs17j075;cs16i075;cs15h075;cs14g075;cs13f075;cs12e075;cs11d075;cs10c075;cs09b075;cs08a075
receive_care_personalsupport;personal support (e.g. arranging affairs offering solace listening);cs19l076;cs18k076;cs17j076;cs16i076;cs15h076;cs14g076;cs13f076;cs12e076;cs11d076;cs10c076;cs09b076;cs08a076
volunteering_d;Did you perform any other voluntary work over the past 12 months other than ind;cs19l077;cs18k077;cs17j077;cs16i077;cs15h077;cs14g077;cs13f077;cs12e077;cs11d077;cs10c077;cs09b077;cs08a077
volunteering_txt;What kind of voluntary work did you perform?;cs19l078;cs18k078;cs17j078;cs16i078;cs15h078;cs14g078;cs13f078;cs12e078;cs11d078;cs10c078;cs09b078;cs08a078
volunteering_hours;Considered all together how much time do you spend on voluntary work and inform;cs19l079;cs18k079;cs17j079;cs16i079;cs15h079;cs14g079;cs13f079;cs12e079;cs11d079;cs10c079;cs09b079;cs08a079
visit_theatre;a theatre performance visited in the past 12 months;cs19l488;cs18k488;cs17j488;cs16i488;cs15h488;cs14g080;cs13f080;cs12e080;cs11d080;cs10c080;cs09b080;cs08a080
visit_cabaret;a cabaret performance visited in the past 12 months;cs19l489;cs18k489;cs17j489;cs16i489;cs15h489;cs14g081;cs13f081;cs12e081;cs11d081;cs10c081;cs09b081;cs08a081
visit_classical;a classical concert visited in the past 12 months;cs19l082;cs18k082;cs17j082;cs16i082;cs15h082;cs14g082;cs13f082;cs12e082;cs11d082;cs10c082;cs09b082;cs08a082
visit_opera;an opera or operetta visited in the past 12 months;cs19l083;cs18k083;cs17j083;cs16i083;cs15h083;cs14g083;cs13f083;cs12e083;cs11d083;cs10c083;cs09b083;cs08a083
visit_concert;a concert of popular music pop rock jazz musical or pop opera visited in th;cs19l514;cs18k514;cs17j514;cs16i514;cs15h084;cs14g084;cs13f084;cs12e084;cs11d084;cs10c084;cs09b084;cs08a084
visit_dance;a dance event houseparty visited in the past 12 months;cs19l490;cs18k490;cs17j490;cs16i490;cs15h490;cs14g085;cs13f085;cs12e085;cs11d085;cs10c085;cs09b085;cs08a085
visit_ballet;a ballet performance visited in the past 12 months;cs19l515;cs18k515;cs17j515;cs16i515;cs15h086;cs14g086;cs13f086;cs12e086;cs11d086;cs10c086;cs09b086;cs08a086
visit_cinema;the cinema visited in the past 12 months;cs19l087;cs18k087;cs17j087;cs16i087;cs15h087;cs14g087;cs13f087;cs12e087;cs11d087;cs10c087;cs09b087;cs08a087
visit_film;a film house visited in the past 12 months;cs19l088;cs18k088;cs17j088;cs16i088;cs15h088;cs14g088;cs13f088;cs12e088;cs11d088;cs10c088;cs09b088;cs08a088
visit_art;an art gallery visited in the past 12 months;cs19l089;cs18k089;cs17j089;cs16i089;cs15h089;cs14g089;cs13f089;cs12e089;cs11d089;cs10c089;cs09b089;cs08a089
visit_museum;a museum visited in the past 12 months;cs19l090;cs18k090;cs17j090;cs16i090;cs15h090;cs14g090;cs13f090;cs12e090;cs11d090;cs10c090;cs09b090;cs08a090
number_theatre;a theatre performance number of visits over the past 12 months;cs19l494;cs18k494;cs17j494;cs16i494;cs15h494;cs14g091;cs13f091;cs12e091;cs11d091;cs10c091;cs09b091;cs08a091
number_cabaret;a cabaret performance number of visits over the past 12 months;cs19l495;cs18k495;cs17j495;cs16i495;cs15h495;cs14g092;cs13f092;cs12e092;cs11d092;cs10c092;cs09b092;cs08a092
number_classical;a classical concert number of visits over the past 12 months;cs19l093;cs18k093;cs17j093;cs16i093;cs15h093;cs14g093;cs13f093;cs12e093;cs11d093;cs10c093;cs09b093;cs08a093
number_opera;an opera or operetta number of visits over the past 12 months;cs19l094;cs18k094;cs17j094;cs16i094;cs15h094;cs14g094;cs13f094;cs12e094;cs11d094;cs10c094;cs09b094;cs08a094
number_concert;a concert of popular music pop rock jazz musical or pop opera number of vis;cs19l516;cs18k516;cs17j516;cs16i516;cs15h095;cs14g095;cs13f095;cs12e095;cs11d095;cs10c095;cs09b095;cs08a095
number_dance;a dance event houseparty number of visits over the past 12 months;cs19l496;cs18k496;cs17j496;cs16i496;cs15h496;cs14g096;cs13f096;cs12e096;cs11d096;cs10c096;cs09b096;cs08a096
number_ballet;a ballet performance number of visits over the past 12 months;cs19l517;cs18k517;cs17j517;cs16i517;cs15h097;cs14g097;cs13f097;cs12e097;cs11d097;cs10c097;cs09b097;cs08a097
number_cinema;the cinema number of visits over the past 12 months;cs19l098;cs18k098;cs17j098;cs16i098;cs15h098;cs14g098;cs13f098;cs12e098;cs11d098;cs10c098;cs09b098;cs08a098
number_film;a film house number of visits over the past 12 months;cs19l099;cs18k099;cs17j099;cs16i099;cs15h099;cs14g099;cs13f099;cs12e099;cs11d099;cs10c099;cs09b099;cs08a099
number_art;an art gallery number of visits over the past 12 months;cs19l100;cs18k100;cs17j100;cs16i100;cs15h100;cs14g100;cs13f100;cs12e100;cs11d100;cs10c100;cs09b100;cs08a100
number_museum;a museum number of visits over the past 12 months;cs19l101;cs18k101;cs17j101;cs16i101;cs15h101;cs14g101;cs13f101;cs12e101;cs11d101;cs10c101;cs09b101;cs08a101
holiday_domestic;How often did you take a holiday within the Netherlands over the past 12 months?;cs19l102;cs18k102;cs17j102;cs16i102;cs15h102;cs14g102;cs13f102;cs12e102;cs11d102;cs10c102;cs09b102;cs08a102
holiday_abroad;How often did you take a holiday abroad over the past 12 months?;cs19l103;cs18k103;cs17j103;cs16i103;cs15h103;cs14g103;cs13f103;cs12e103;cs11d103;cs10c103;cs09b103;cs08a103
sports_d;Do you practice sports?;cs19l104;cs18k104;cs17j104;cs16i104;cs15h104;cs14g104;cs13f104;cs12e104;cs11d104;cs10c104;cs09b104;cs08a104
sports_hours;How many hours do you spend on sports per week on average?;cs19l105;cs18k105;cs17j105;cs16i105;cs15h105;cs14g105;cs13f105;cs12e105;cs11d105;cs10c105;cs09b105;cs08a105
sports_d_soccer;What sport do you practice? - soccer;cs19l106;cs18k106;cs17j106;cs16i106;cs15h106;cs14g106;cs13f106;cs12e106;cs11d106;cs10c106;cs09b106;cs08a106
sports_d_hockey;What sport do you practice? - hockey;cs19l107;cs18k107;cs17j107;cs16i107;cs15h107;cs14g107;cs13f107;cs12e107;cs11d107;cs10c107;cs09b107;cs08a107
sports_d_handball;What sport do you practice? - handball;cs19l108;cs18k108;cs17j108;cs16i108;cs15h108;cs14g108;cs13f108;cs12e108;cs11d108;cs10c108;cs09b108;cs08a108
sports_d_volleyball;What sport do you practice? - volleyball;cs19l109;cs18k109;cs17j109;cs16i109;cs15h109;cs14g109;cs13f109;cs12e109;cs11d109;cs10c109;cs09b109;cs08a109
sports_d_badminton;What sport do you practice? - badminton;cs19l110;cs18k110;cs17j110;cs16i110;cs15h110;cs14g110;cs13f110;cs12e110;cs11d110;cs10c110;cs09b110;cs08a110
sports_d_squash;What sport do you practice? - squash;cs19l111;cs18k111;cs17j111;cs16i111;cs15h111;cs14g111;cs13f111;cs12e111;cs11d111;cs10c111;cs09b111;cs08a111
sports_d_gymnastics;What sport do you practice? - gymnastics;cs19l112;cs18k112;cs17j112;cs16i112;cs15h112;cs14g112;cs13f112;cs12e112;cs11d112;cs10c112;cs09b112;cs08a112
sports_d_indoor;What sport do you practice? - indoor soccer;cs19l113;cs18k113;cs17j113;cs16i113;cs15h113;cs14g113;cs13f113;cs12e113;cs11d113;cs10c113;cs09b113;cs08a113
sports_d_jogging;What sport do you practice? - jogging/running;cs19l114;cs18k114;cs17j114;cs16i114;cs15h114;cs14g114;cs13f114;cs12e114;cs11d114;cs10c114;cs09b114;cs08a114
sports_d_inline;What sport do you practice? - inline skating;cs19l115;cs18k115;cs17j115;cs16i115;cs15h115;cs14g115;cs13f115;cs12e115;cs11d115;cs10c115;cs09b115;cs08a115
sports_d_swimming;What sport do you practice? - swimming;cs19l116;cs18k116;cs17j116;cs16i116;cs15h116;cs14g116;cs13f116;cs12e116;cs11d116;cs10c116;cs09b116;cs08a116
sports_d_tennis;What sport do you practice? - tennis;cs19l117;cs18k117;cs17j117;cs16i117;cs15h117;cs14g117;cs13f117;cs12e117;cs11d117;cs10c117;cs09b117;cs08a117
